,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
404,Aji de Gallina,"['25 g shelled walnuts', '1–2 fresh red chillies , optional', '750 g new potatoes', 'olive oil', '1 large handful of black olives', 'a few sprigs of fresh mint', '3 free-range chicken thighs , skin on, bone out', '1 onion', '2 cloves of garlic', '125 g breadcrumbs', '300 ml milk', '25 g Parmesan cheese', '½ a lemon , optional']",4,Not too tricky,581.0,35.4,29.4,34.5,1 hour 30 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/aji-de-gallina/,shelled walnut fresh red chilli optional new potato olive oil large handful black olive a few sprig fresh mint free range chicken thigh skin bone out onion clove garlic breadcrumb milk parmesan cheese a lemon optional,walnut potato mint chicken out onion garlic breadcrumb milk parmesan cheese lemon
405,Sancochado,"['1 kg rolled beef brisket', '4 sticks of celery', '2 onions', '750 g heirloom carrots', '3 cobs of corn', '2 large sweet potatoes', '1 savoy cabbage', 'dried oregano']",6,Super easy,589.0,29.0,36.3,39.6,3 hours,https://www.jamieoliver.com/recipes/beef-recipes/sancochado/,rolled beef brisket stick celery onion heirloom carrot cob corn large sweet potato savoy cabbage dried oregano,rolled beef brisket celery onion heirloom carrot cob potato savoy cabbage oregano
406,Tacu tacu,"['300 g long-grain white rice', '1 plantain', '2 cloves of garlic', '1 onion', '1 fresh red chilli', '1 x 400 g tin of haricot beans', 'olive oil', 'hot chilli sauce', '4 large eggs']",4,Super easy,476.0,10.8,18.4,74.8,1 hour,https://www.jamieoliver.com/recipes/rice-recipes/tacu-tacu/,long grain white rice plantain clove garlic onion fresh red chilli tin haricot bean olive oil hot chilli sauce large egg,long grain rice plantain garlic onion haricot egg
407,Gennaro's pasta frittata – lots of ways,"['4 large eggs', '40 g Parmesan cheese , plus extra to serve', 'sea salt', 'freshly ground black pepper', '400 g leftover cooked pasta', 'extra virgin olive oil']",4,Super easy,307.0,18.8,14.2,22.2,20 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-pasta-frittata-lots-of-ways/,large egg parmesan cheese plus extra to serve sea salt freshly ground black pepper leftover cooked pasta extra virgin olive oil,egg parmesan cheese pasta
408,Gennaro's butternut squash & pancetta penne,"['60 g higher-welfare slices of pancetta', '3 banana shallots , peeled', '½ a fresh red chilli', '650 g butternut squash , peeled and deseeded', 'extra virgin olive oil', '2 sprigs of fresh rosemary , leaves picked', '600 ml hot organic vegetable stock', '400 g penne', 'sea salt', 'freshly ground black pepper', '10 g Parmesan cheese , plus extra to serve']",4,Not too tricky,600.0,19.9,19.3,92.0,40 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-butternut-squash-pancetta-penne/,higher welfare pancetta banana shallot peeled a fresh red chilli butternut squash peeled and deseeded extra virgin olive oil sprig fresh rosemary leaf picked hot organic vegetable stock penne sea salt freshly ground black pepper parmesan cheese plus extra to serve,pancetta banana shallot rosemary penne parmesan cheese
409,Gennaro's Parma ham & red pepper with taglierini,"['½ a red or white onion , peeled', '1 red pepper , deseeded', '90 g higher-welfare slices of Parma ham', '¼ of a fresh red chilli', '1 large firm tomato', '½ a bunch of fresh flat-leaf parsley , leaves picked', '200 g taglierini', 'sea salt', 'freshly ground black pepper', 'extra virgin olive oil', '½ an unwaxed lemon , the zest and juice of', 'Parmesan cheese , for grating']",2,Super easy,735.0,33.4,31.5,82.3,20 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-parma-ham-red-pepper-with-taglierini/,a red or white onion peeled red pepper deseeded higher welfare parma ham a fresh red chilli large firm tomato a bunch fresh flat leaf parsley leaf picked taglierini sea salt freshly ground black pepper extra virgin olive oil an unwaxed lemon the zest and juice parmesan cheese for grating,onion parma ham firm tomato taglierini an unwaxed lemon parmesan cheese
410,Gennaro's classic spaghetti carbonara,"['3 large free-range egg yolks', '40 g Parmesan cheese , plus extra to serve', '1 x 150 g piece of higher-welfare pancetta', '200 g dried spaghetti', '1 clove of garlic', 'extra virgin olive oil']",2,Super easy,860.0,47.5,37.8,74.8,10 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/gennaro-s-classic-spaghetti-carbonara/,large free range egg yolk parmesan cheese plus extra to serve piece higher welfare pancetta dried spaghetti clove garlic extra virgin olive oil,egg yolk parmesan cheese pancetta garlic
411,Jamie's ultimate Canada Day burger,"['BURGERS', '800g minced chuck steak', 'olive oil', '1 pinch of cumin seeds', '4 slices of Canadian Cheddar cheese', '4 burger buns', 'tomato ketchup', 'SLAW', '2 heaped tablespoons fat-free natural yoghurt', '1 teaspoon Dijon mustard', '1 teaspoon English mustard', '1 lemon', '2 tablespoons extra virgin olive oil', '¼ of a red cabbage', '¼ of a white cabbage', '1 small red onion', '1 carrot', '1 red eating apple', 'a few sprigs of fresh mint', '½ – 1 fresh red chilli', '2 gherkins', '1 handful of baby spinach leaves', '4 rashers of Certified Humane smoked streaky bacon']",4,Not too tricky,513.0,25.4,23.9,47.8,55 minutes,https://www.jamieoliver.com/recipes/beef-recipes/jamie-s-ultimate-canada-day-burger/,burger minced chuck steak olive oil cumin seed canadian cheddar cheese burger bun tomato ketchup slaw fat free natural yoghurt dijon mustard english mustard lemon extra virgin olive oil a red cabbage a white cabbage small red onion carrot red eating apple a few sprig fresh mint fresh red chilli gherkin handful baby spinach leaf rasher certified humane smoked streaky bacon,burger chuck cumin canadian cheddar cheese burger bun tomato ketchup slaw yoghurt mustard mustard lemon cabbage cabbage onion carrot eating apple mint gherkin spinach certified humane bacon
412,Family spaghetti Bolognese,"['3 red onions', '2 cloves of garlic', '3 carrots', '3 sticks of celery', '2 sprigs of fresh rosemary', '2 rashers of higher-welfare smoked streaky bacon , or pancetta', 'olive oil', '500 g lean beef mince', '1 x 400 g tin of quality chopped tomatoes', '1 tablespoon tomato purée', '1 tablespoon balsamic vinegar , or red wine vinegar', '3 fresh bay leaves', '1 organic low-salt beef stock cube', '500 g dried spaghetti', '40 g Parmesan cheese , optional']",6,Not too tricky,511.0,9.1,38.6,73.7,2 hours,https://www.jamieoliver.com/recipes/pasta-recipes/family-spaghetti-bolognese/,red onion clove garlic carrot stick celery sprig fresh rosemary rasher higher welfare smoked streaky bacon or pancetta olive oil lean beef mince tin quality chopped tomato tomato puree balsamic vinegar or red wine vinegar fresh bay leaf organic low salt beef stock cube dried spaghetti parmesan cheese optional,onion garlic carrot celery rosemary bacon pancetta lean beef mince tomato tomato wine beef parmesan cheese
413,Chargrilled chicken kebabs,"['2 cloves of garlic', '3 cm piece of ginger', '140 g natural yoghurt', '60 ml passata', 'olive oil', '1 teaspoon garam masala', '½ teaspoon smoked paprika', '½ teaspoon ground turmeric', '4 free-range skinless chicken breasts', '1 large red pepper']",12,Super easy,78.0,3.2,10.4,2.2,1 hour,https://www.jamieoliver.com/recipes/chicken-recipes/chargrilled-chicken-kebabs/,clove garlic piece ginger natural yoghurt passata olive oil garam masala smoked paprika ground turmeric free range skinless chicken breast large red pepper,garlic ginger yoghurt passata paprika turmeric chicken
414,Chargrilled monkfish kebabs,"['100 g ciabatta', '600 g monkfish fillets or other firm fish, skin off, pin-boned, trimmed , from sustainable sources', '1 lemon', 'olive oil']",6,Super easy,122.0,2.2,17.4,8.7,45 minutes,https://www.jamieoliver.com/recipes/fish-recipes/chargrilled-monkfish-kebabs/,ciabatta monkfish fillet or other firm skin pin trimmed from sustainable source lemon olive oil,ciabatta monkfish other firm lemon
415,Chargrilled veg kebabs,"['50 g ciabatta', '1 yellow pepper', '150 g halloumi cheese', '1 courgette', '180 g chestnut mushrooms', '2 red onions', '1 fresh red chilli , optional', '1 lemon', 'extra virgin olive oil', '2 sprigs of fresh rosemary', '200 g cherry tomatoes']",12,Super easy,88.0,5.7,4.4,5.3,1 hour,https://www.jamieoliver.com/recipes/vegetables-recipes/chargrilled-veg-kebabs/,ciabatta yellow pepper halloumi cheese courgette chestnut mushroom red onion fresh red chilli optional lemon extra virgin olive oil sprig fresh rosemary cherry tomato,ciabatta halloumi cheese courgette chestnut mushroom onion lemon rosemary tomato
416,Michela’s turkey hotpot,"['olive oil', '500 g free-range minced turkey', '2 carrots', '1 bulb of fennel', '1 medium leek', '1 x 400 g tin of chopped tomatoes', '1 x 400 g tin of red kidney beans', '1 x 400 g tin of chickpeas', '1 fresh bay leaf', 'sea salt', 'freshly ground black pepper', 'a few sprigs of fresh flat-leaf parsley']",12,Super easy,271.0,6.2,29.6,25.2,1 hour,https://www.jamieoliver.com/recipes/turkey-recipes/michela-s-turkey-hotpot/,olive oil free range minced turkey carrot fennel leek tin chopped tomato tin red kidney bean tin chickpea fresh bay leaf sea salt freshly ground black pepper a few sprig fresh flat leaf parsley,carrot fennel leek tomato kidney chickpea
417,Kerryann’s hidden vegetable pasta sauce,"['2 medium onions', '4 cloves of garlic', '1 large leek', '3 medium carrots', '2 sticks of celery', '2 tablespoons olive oil', '250 g closed cup or chestnut mushrooms', '2 medium courgettes', '2 medium aubergines', '1 tablespoon dried oregano', '4 tablespoons tomato purée', '1 fresh bay leaf', '2 x 400 g tins of chopped tomatoes , or 2 x 500g cartons of passata', '1 teaspoon caster sugar', '850 ml organic vegetable stock']",3 litres,Super easy,220.0,6.7,10.6,29.4,2 hours,https://www.jamieoliver.com/recipes/vegetables-recipes/kerryann-s-hidden-vegetable-pasta-sauce/,onion clove garlic large leek carrot stick celery olive oil closed or chestnut mushroom courgette aubergine dried oregano tomato puree fresh bay leaf tin chopped tomato or carton passata caster sugar organic vegetable stock,onion garlic leek carrot celery closed chestnut mushroom courgette oregano tomato tomato carton passata caster
418,Chicken & asparagus crustless tart,"['2 tablespoons butter , plus extra for greasing', '3-4 spring onions , finely sliced, plus extra to garnish', '2 cloves of garlic , peeled and minced', '300 g asparagus', '4 medium free-range eggs', '100 g ricotta', '50 ml whole milk', '50 g Parmesan , freshly grated', '300 g cooked free-range chicken , roughly chopped']",4,Super easy,389.0,25.4,37.6,3.3,45 minutes plus cooling,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-asparagus-crustless-tart/,butter plus extra for greasing spring onion finely plus extra to garnish clove garlic peeled and minced asparagus free range egg ricotta milk parmesan freshly grated cooked free range chicken roughly chopped,butter greasing onion garnish garlic egg milk parmesan chicken
419,Chicken and veg soup,"['1 large onion', '1 leek', '2 sticks of celery', '2 carrots', '2 courgettes', '200 g cooked chicken', 'olive oil', '100 g orzo', '50 g frozen peas', '1 bunch of fresh flat-leaf parsley', 'CHICKEN STOCK', '1 large onion', '1 chicken carcass and bones', '2 carrots', '2 sticks of celery', '5 black peppercorns', '1 bunch of fresh flat-leaf parsley , (optional)']",6,Not too tricky,168.0,4.3,14.0,19.5,3 hours 30 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-soup-with-spring-veg-pasta/,large onion leek stick celery carrot courgette cooked chicken olive oil orzo frozen pea bunch fresh flat leaf parsley chicken stock large onion chicken carcass and bone carrot stick celery black peppercorn bunch fresh flat leaf parsley,onion leek celery carrot courgette chicken orzo pea chicken onion chicken carcass carrot celery peppercorn
420,"Chicken, leek & pea pasta bake","['1 tablespoon butter , plus extra for greasing', '350 g conchiglie pasta', 'olive oil', '2 leeks', '2 cloves of garlic', '100 ml chicken stock', '100 ml white wine', '150 g frozen peas', '200 g cooked chicken', '225 ml milk', '250 g ricotta cheese', '60 g Parmesan cheese']",6,Super easy,400.0,14.9,26.9,39.4,1 hour,https://www.jamieoliver.com/recipes/pasta-recipes/chicken-leek-pea-pasta-bake/,butter plus extra for greasing conchiglie pasta olive oil leek clove garlic chicken stock white wine frozen pea cooked chicken milk ricotta cheese parmesan cheese,butter greasing conchiglie pasta leek garlic chicken wine pea chicken milk cheese parmesan cheese
421,Polpette di pollo,"['300 g cooked free-range chicken', '3 slices of brown bread , crusts removed (plus extra breadcrumbs, if needed)', '50 ml milk', '1 clove of garlic', 'a few sprigs of fresh flat-leaf parsley', '50 g olives', '2 tablespoons capers', '4 tablespoons grated Parmesan cheese', '1 large free-range egg', 'olive oil', 'TOMATO SUGO', '3 cloves of garlic', '2 x 400 g tins of quality chopped tomatoes', '½ a teaspoon sugar , optional']",4,Not too tricky,386.0,21.3,30.5,19.4,45 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/polpette-di-pollo/,cooked free range chicken brown bread crust removed extra if milk clove garlic a few sprig fresh flat leaf parsley olive caper grated parmesan cheese large free range egg olive oil tomato sugo clove garlic tin quality chopped tomato a sugar optional,chicken crust milk garlic parmesan cheese egg tomato sugo garlic tomato
422,Vegetable noodle stir-fry,"['250 g thin egg noodles', '2 limes', '3 tablespoons plum sauce', '1 tablespoon runny honey', 'low-salt soy sauce', '6 spring onions', '2 cloves of garlic', '3 cm piece of ginger', '100 g sugar snap peas', '1 red pepper', '1 yellow pepper', '¼ of a Chinese cabbage , (180g)', '100 g beansprouts', '100 g frozen peas', '2 tablespoons vegetable oil', 'sesame oil , optional']",4,Super easy,366.0,11.5,10.9,58.0,15 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/vegetable-noodle-stir-fry/,thin egg noodle lime plum sauce runny honey low salt soy sauce spring onion clove garlic piece ginger sugar snap pea red pepper yellow pepper a chinese cabbage beansprouts frozen pea vegetable oil sesame oil optional,thin egg noodle lime honey onion garlic ginger snap pea chinese cabbage beansprouts pea
423,Kerryann’s homemade fish fingers & minty smashed peas,"['450 g frozen white fish fillets', '500 g frozen peas', '5 tablespoons plain flour', '1 tablespoon smoked paprika', '½ an unwaxed lemon', '2 large eggs', '3 slices of wholemeal bread , (100g)', 'sunflower oil', '½ a bunch of fresh mint , (15g)']",4,Not too tricky,388.0,9.5,36.3,42.3,30 minutes,https://www.jamieoliver.com/recipes/fish-recipes/kerryann-s-homemade-fish-fingers-minty-smashed-peas/,frozen white fish fillet frozen pea plain flour smoked paprika an unwaxed lemon large egg wholemeal bread sunflower oil a bunch fresh mint,pea paprika an unwaxed lemon egg sunflower mint
424,Kerryann’s tuna pasta bake,"['1 onion', '2 cloves of garlic', 'olive oil', '1 pinch of dried chilli flakes', '3 x 400 g tins of chopped tomatoes', '1 bunch of fresh basil , (or use 1 teaspoon dried oregano instead)', 'sea salt', 'freshly ground black pepper', '500 g dried penne', '2 x 180 g tins of tuna from sustainable sources , (275g drained weight)', '150 g mature Cheddar cheese']",6,Super easy,514.0,16.8,31.0,64.1,1 hour,https://www.jamieoliver.com/recipes/pasta-recipes/kerryann-s-tuna-pasta-bake/,onion clove garlic olive oil dried chilli flake tin chopped tomato bunch fresh basil use dried oregano sea salt freshly ground black pepper dried penne tin tuna from sustainable source drained mature cheddar cheese,onion garlic tomato basil use oregano penne tuna mature cheddar cheese
425,Jools’ easy chicken curry,"['1 onion', '4cm piece of ginger', '2 cloves of garlic', 'olive oil', '2 tablespoons tikka masala paste', '3 tablespoons natural yoghurt', '2 tablespoons tomato purée', '8 skinless chicken thighs, bone in', '1 x 400 g tin of chopped tomatoes', '1 x 400 g tin of green lentils', '1 x 400 g tin of light coconut milk', '2 handfuls of baby spinach , optional', '2 tablespoons mango chutney']",6,Super easy,245.0,11.6,16.8,18.8,1 hour 30 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/jools-easy-chicken-curry/,onion piece ginger clove garlic olive oil tikka masala paste natural yoghurt tomato puree skinless chicken bone tin chopped tomato tin green lentil tin light coconut milk handful baby spinach optional mango chutney,onion ginger garlic tikka yoghurt tomato chicken tomato lentil coconut milk spinach mango chutney
426,Jools’ wholesome veg & bean soup,"['2 sticks of celery', '3 carrots', '2 large leeks', '2 cloves of garlic', '1 sprig of fresh rosemary', '2 rashers of higher-welfare smoked streaky bacon', 'olive oil', '1 x 400 g tin of borlotti or cannellini beans', '1 litre organic vegetable or chicken stock', '75 g baby spinach or kale', '100 g frozen peas']",4 to 6,Super easy,179.0,6.2,10.8,18.1,50 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/jools-wholesome-veg-and-bean-soup/,stick celery carrot large leek clove garlic sprig fresh rosemary rasher higher welfare smoked streaky bacon olive oil tin borlotti or cannellini bean organic vegetable or chicken stock baby spinach or kale frozen pea,celery carrot leek garlic rosemary bacon borlotti cannellini chicken spinach kale pea
427,Jools’ simple chicken & veg stew,"['2 medium leeks', '2 carrots', '2 sticks of celery', '2 cloves of garlic', '3 sprigs of fresh thyme', '3 rashers of higher-welfare smoked streaky bacon', 'olive oil', '200 g celeriac', '2 parsnips', '6 new potatoes', '8 free-range chicken thighs , skin off, bone out', '1 heaped teaspoon Marmite', '600 ml organic vegetable stock']",6,Not too tricky,420.0,20.6,25.8,29.6,1 hour 30 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/jools-simple-chicken-and-veg-stew/,leek carrot stick celery clove garlic sprig fresh thyme rasher higher welfare smoked streaky bacon olive oil celeriac parsnip new potato free range chicken thigh skin bone out marmite organic vegetable stock,leek carrot celery garlic thyme bacon celeriac parsnip potato chicken out marmite
428,Jools’ sausage & smoky bean casserole,"['12 higher-welfare pork chipolatas', '2 medium leeks', '2 sticks of celery', '2 cloves of garlic', '2 red peppers', 'olive oil', '2 teaspoons sweet smoked paprika', '1 teaspoon ground cumin', '12 ripe cherry tomatoes', '1 tablespoon red wine vinegar', '500 ml passata', '1 teaspoon demerara sugar , optional', '1 teaspoon Dijon mustard', '2 x 400 g tins of mixed beans', 'a few sprigs of fresh flat-leaf parsley , optional']",6,Not too tricky,420.0,20.6,25.8,29.6,1 hour 30 minutes,https://www.jamieoliver.com/recipes/pork-recipes/jools-sausage-smoky-bean-casserole/,higher welfare pork chipolata leek stick celery clove garlic red pepper olive oil sweet smoked paprika ground cumin ripe cherry tomato red wine vinegar passata demerara sugar optional dijon mustard tin mixed bean a few sprig fresh flat leaf parsley optional,pork chipolata leek celery garlic paprika cumin tomato wine passata demerara mustard
429,Jools' fish pie,"['1.5 kg floury potatoes', '4 large free-range eggs , optional', '50 g unsalted butter', '50 g plain flour', '2 fresh bay leaves', '350 ml quality fish stock', '350 ml semi-skimmed milk , plus an extra splash', '50 g Cheddar cheese', '½ a lemon', '1 heaped teaspoon English mustard', 'a few sprigs of fresh flat-leaf parsley , optional', '300 g skinless, boneless white fish , such as coley, whiting, haddock, cod, from sustainable sources', '200 g skinless boneless salmon , from sustainable sources', '200 g skinless, boneless undyed smoked haddock , from sustainable sources', '200 g baby spinach', 'extra virgin olive oil', '1 whole nutmeg , for grating']",8,Super easy,370.0,12.4,26.4,40.2,1 hour 30 minutes,https://www.jamieoliver.com/recipes/fish-recipes/jools-fish-pie/,floury potato large free range egg optional unsalted butter plain flour fresh bay leaf quality fish stock semi skimmed milk plus an extra splash cheddar cheese a lemon english mustard a few sprig fresh flat leaf parsley optional boneless white fish such a from sustainable source skinless boneless salmon from sustainable source boneless undyed smoked haddock from sustainable source baby spinach extra virgin olive oil nutmeg for grating,floury potato egg butter semi skimmed milk an cheddar cheese lemon mustard boneless boneless salmon boneless undyed haddock spinach nutmeg
430,Jools’ Asian-style salmon,"['1 clove of garlic', '1 x 3 cm piece of ginger', '1 lime', '3 tablespoons low-salt soy sauce', '1 tablepsoon runny honey', '1 teaspoon groundnut oil', '2 x 120 g salmon fillets , scaled, pin-boned, from sustainable sources', '1 tablespoon sesame seeds , optional']",2,Not too tricky,272.0,14.8,25.0,10.2,25 minutes plus 10 minutes marinating,https://www.jamieoliver.com/recipes/fish-recipes/jools-asian-style-salmon/,clove garlic piece ginger lime low salt soy sauce tablepsoon runny honey groundnut oil salmon fillet pin from sustainable source sesame seed optional,garlic ginger lime tablepsoon honey salmon
431,Jools’ simple beef stew,"['4 sprigs of fresh thyme', '2 sprigs of fresh rosemary', '2 medium leeks', '1 stick of celery', '2 carrots', '1 tablespoon olive oil', '500 g quality diced stewing beef', '1 heaped tablespoon plain flour', '2 tablespoons tomato purée', '2 tablespoons grated horseradish , or a good grating of fresh horseradish', '1 litre organic beef or vegetable stock', '1 fresh bay leaf', '75 g red lentils']",6,Super easy,229.0,8.5,24.2,14.5,2 hours 30 minutes,https://www.jamieoliver.com/recipes/beef-recipes/jools-simple-beef-stew/,sprig fresh thyme sprig fresh rosemary leek stick celery carrot olive oil quality diced stewing beef plain flour tomato puree grated horseradish or a good grating fresh horseradish organic beef or vegetable stock fresh bay leaf red lentil,thyme rosemary leek celery carrot diced stewing beef tomato horseradish horseradish beef lentil
432,Jools’ crunchy fish,"['1 thick slice of wholemeal bread , (roughly 50g)', 'olive oil', '1 lemon', '3 sprigs of fresh thyme', '2 x 120 g firm white fish or salmon fillets , scaled and pin-boned, from sustainable sources']",2,Super easy,390.0,26.9,26.8,11.0,20 minutes,https://www.jamieoliver.com/recipes/fish-recipes/jools-crunchy-fish/,thick wholemeal bread olive oil lemon sprig fresh thyme firm white fish or salmon fillet scaled and pin from sustainable source,lemon thyme firm salmon scaled
433,Jamie’s classic family lasagne,"['2 sprigs of fresh rosemary', '100 g higher-welfare smoked streaky bacon', 'olive oil', '1 kg quality minced beef', '1 kg higher-welfare minced pork', '4 carrots', '2 onions', '4 sticks of celery', '2 heaped tablespoons tomato purée', '4 x 400 g tins of plum tomatoes', '350 g dried lasagne sheets', 'WHITE SAUCE', '150 g mature Cheddar cheese', '2 medium leeks', '2 fresh bay leaves', '4 tablespoons plain flour', '1 litre semi-skimmed milk', '1 whole nutmeg , for grating']",12 plus lots of leftover ragù,Not too tricky,420.0,18.8,28.4,35.6,4 hours,https://www.jamieoliver.com/recipes/pasta-recipes/jamie-s-classic-family-lasagne/,sprig fresh rosemary higher welfare smoked streaky bacon olive oil quality minced beef higher welfare minced pork carrot onion stick celery tomato puree tin plum tomato dried lasagne sheet white sauce mature cheddar cheese leek fresh bay leaf plain flour semi skimmed milk nutmeg for grating,rosemary bacon beef pork carrot onion celery tomato tomato lasagne sheet mature cheddar cheese leek semi skimmed milk nutmeg
434,Gennaro’s mini pizzas with hidden veg sauce,"['PIZZA DOUGH', '250 g strong white bread flour , or tipo 00, plus extra for dusting', '250 g wholemeal flour', '1 x 7 g sachet dried yeast', 'fine semolina , for dusting', 'HIDDEN VEG SAUCE', '1 onion', '100 g mushrooms', '1 stick of celery', '1 carrot', '1 clove of garlic', '3 sprigs of fresh oregano', 'olive oil', '2 handfuls of baby spinach', '1 x 400 g tin of chopped tomatoes', 'BASIC TOPPING', '2 x 125 g balls of mozzarella', 'fresh oregano', 'Parmesan cheese']",6 pizzas (2 large and 4 mini),Not too tricky,467.0,16.4,20.1,23.9,2 hours 30 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/gennaro-s-mini-pizzas-with-hidden-veg-sauce/,pizza dough strong white bread flour or tipo plus extra for dusting wholemeal flour sachet dried yeast fine semolina for dusting hidden veg sauce onion mushroom stick celery carrot clove garlic sprig fresh oregano olive oil handful baby spinach tin chopped tomato basic topping ball mozzarella fresh oregano parmesan cheese,pizza dough strong tipo sachet yeast semolina hidden veg onion mushroom celery carrot garlic oregano spinach tomato basic topping ball oregano parmesan cheese
435,Baked veggie balls,"['100 g bulgur wheat', '1 small onion', '3 cloves of garlic', '1 stick of celery', '1 carrot', 'olive oil', '½ a bunch of fresh flat-leaf parsley', '1 x 400 g tin of chickpeas', '1 large free-range egg', '50 g wholemeal breadcrumbs', '1 lemon', '30 g Parmesan cheese', '2 x 400 g tins of plum tomatoes', '2 large jarred red peppers', '60 g ricotta cheese']",6,Not too tricky,257.0,12.1,12.0,25.8,2 hours plus resting,https://www.jamieoliver.com/recipes/vegetables-recipes/baked-veggie-balls/,bulgur wheat small onion clove garlic stick celery carrot olive oil a bunch fresh flat leaf parsley tin chickpea large free range egg wholemeal breadcrumb lemon parmesan cheese tin plum tomato large jarred red pepper ricotta cheese,bulgur wheat onion garlic celery carrot chickpea egg breadcrumb lemon parmesan cheese tomato jarred cheese
436,Baked rice with chicken & chorizo,"['1 onion', '2 cloves of garlic', '1 red or yellow pepper', '3 sprigs of fresh flat-leaf parsley', '50 g quality chorizo', 'olive oil', '1 tablespoon sweet smoked paprika', '250 g wholemeal basmati rice', '8 free-range chicken thighs , skin off, bone out', '500 ml passata', '300 ml organic chicken stock', '2 lemons']",4,Not too tricky,590.0,19.0,40.0,68.0,2 hours,https://www.jamieoliver.com/recipes/rice-recipes/baked-rice-with-chicken-chorizo/,onion clove garlic red or yellow pepper sprig fresh flat leaf parsley quality chorizo olive oil sweet smoked paprika wholemeal basmati rice free range chicken thigh skin bone out passata organic chicken stock lemon,onion garlic chorizo paprika rice chicken out passata chicken lemon
437,Cracking Cobb salad,"['2 free-range chicken thighs , skin on, bone in', '1 large pinch of sweet smoked paprika', 'olive oil', '4 slices of higher-welfare pancetta', '2 large free-range eggs', '1 Romaine, cos or soft round lettuce , (or a mixture)', '1 ripe avocado', '2 ripe tomatoes , or 125g ripe cherry tomatoes', '1 punnet of salad cress', 'DRESSING:', '50 g Stilton', '½ a bunch of fresh chives , (15g)', 'extra virgin olive oil', '1 lemon', '50 ml buttermilk', '2 tablespoons Greek yoghurt', '½ teaspoon Worcestershire sauce']",4,Not too tricky,393.0,30.9,25.0,25.0,1 hour,https://www.jamieoliver.com/recipes/chicken-recipes/cracking-cobb-salad/,free range chicken thigh skin bone large sweet smoked paprika olive oil higher welfare pancetta large free range egg co or soft round lettuce a ripe avocado ripe tomato or ripe cherry tomato punnet salad cress  stilton a bunch fresh chive extra virgin olive oil lemon buttermilk greek yoghurt worcestershire sauce,chicken paprika pancetta egg co round lettuce avocado tomato tomato cress stilton lemon buttermilk greek yoghurt
438,Tasty tabbouleh salad,"['200 g bulgur wheat', 'sea salt', 'freshly ground black pepper', '50 g pistachios', '1 bunch of fresh mint', '2 bunches of fresh flat-leaf parsley', '6 radishes', '4 spring onions', '4 ripe tomatoes', '2 lemons , juice of', 'extra virgin olive oil', '1 pomegranate', '½ teaspoon sumac']",4,Super easy,277.0,19.8,6.3,18.8,30 minutes plus cooling,https://www.jamieoliver.com/recipes/vegetables-recipes/tasty-tabbouleh-salad/,bulgur wheat sea salt freshly ground black pepper pistachio bunch fresh mint bunch fresh flat leaf parsley radish spring onion ripe tomato lemon juice extra virgin olive oil pomegranate sumac,bulgur wheat pistachio mint radish onion tomato lemon sumac
439,Prawn & papaya salad,"['50 g unsalted peanuts', '3 cloves of garlic', '400 g peeled king prawns , deveined', '4 ripe tomatoes', 'groundnut oil', '1-2 fresh red Thai chillies', '3 limes', '3 tablespoons fish sauce', 'runny honey', '1 cucumber', '650 g green papaya , (or ½ large white cabbage)', '4 spring onions', '½ a bunch of fresh Thai basil', '½ a bunch of fresh coriander']",6,Super easy,196.0,6.8,16.7,17.4,30 minutes plus cooling,https://www.jamieoliver.com/recipes/seafood-recipes/prawn-papaya-salad/,unsalted peanut clove garlic peeled king prawn deveined ripe tomato groundnut oil fresh red thai chilli lime fish sauce runny honey cucumber green papaya large white spring onion a bunch fresh thai basil a bunch fresh coriander,peanut garlic king prawn deveined tomato thai lime honey cucumber papaya onion thai basil coriander
440,Baked eggs – lots of ways,"['vegetable oil', '4 large free-range eggs', 'SPINACH & HAM', '20 g baby spinach', '75 g quality cooked ham', 'TOMATO & BASIL', '70 g ripe cherry tomatoes', '1 sprig of fresh basil', 'SMOKED SALMON & CHIVES', '50 g smoked salmon', 'a few fresh chives', 'TRUFFLE MUSHROOMS', '50 g chestnut mushrooms', 'a few drops of truffle oil']",2,Super easy,233.0,16.8,21.3,0.6,15 minutes,https://www.jamieoliver.com/recipes/eggs-recipes/baked-eggs-lots-of-ways/,vegetable oil large free range egg spinach ham baby spinach quality cooked ham tomato basil ripe cherry tomato sprig fresh basil smoked salmon chive smoked salmon a few fresh chive truffle mushroom chestnut mushroom a few drop truffle oil,egg spinach ham spinach ham tomato basil tomato basil salmon salmon truffle mushroom chestnut mushroom drop truffle
